mean,var,calculus,maxAbs,deltaT,median,gradientF,gradientS,bS,label
0.02717741,0.000163747,7.854271563,0.047143922,289,0.028147465,0.000426714,-0.000182,0.044811995,1
-0.033588475,0.000332522,-4.97109435,0.056432443,148,-0.036605655,-0.00089691,0.00079536,-0.064083089,1
-0.063798379,0.001571726,-10.65432925,0.118219738,167,-0.065404812,-0.001591287,0.001662033,-0.132443656,1
-0.043823275,0.000643899,-9.202887854,0.07796587,210,-0.045858583,-0.000795257,0.000857395,-0.087996926,1
0.037610521,0.000252579,9.703514381,0.057411879,258,0.042935157,0.000218496,-0.000835773,0.064964491,1
0.017131247,9.02E-05,3.443380725,0.029819322,201,0.018137275,0.000311426,-0.000340236,0.033356267,1
0.007520617,9.94E-06,1.27850489,0.010407992,170,0.008931916,0.00013204,-8.85E-05,0.01218488,1
-0.032256346,0.000486228,-7.193165065,0.063473711,223,-0.032087322,-0.000783412,0.000591228,-0.067896722,1
0.006220163,1.38E-05,1.884709496,0.013529479,303,0.005589909,3.29E-05,-0.000247094,0.015639298,1
-0.017498895,8.75E-05,-2.852319866,0.029156535,163,-0.019029584,-0.000421664,0.000366815,-0.03299583,1
0.003556503,3.30E-06,0.387658809,0.005706059,109,0.003953074,0.000147217,-9.13E-05,0.006473916,0
0.002891437,2.20E-06,0.315166678,0.004678063,109,0.003219844,9.04E-05,-9.15E-05,0.005374576,0
0.008828442,1.17E-05,2.224767417,0.012019197,252,0.010674691,5.67E-05,-0.000152957,0.013973793,0
-0.016926191,8.18E-05,-2.572781107,0.028350972,152,-0.018334729,-0.000328928,0.00049274,-0.032738886,0
0.026103956,0.000265777,8.457681624,0.044037848,324,0.03261598,0.000633402,-0.000222756,0.053073879,1
0.001839173,8.19E-07,0.277715087,0.003619294,151,0.001784807,1.17E-05,-0.00012592,0.004116951,1
-0.021741202,8.14E-05,-6.457136937,0.035261736,297,-0.022558702,-0.000423518,8.19E-05,-0.030947401,1
-0.043340494,0.000379186,-18.80977428,0.073978391,434,-0.044708358,-0.000115187,0.000647135,-0.083486932,1
0.008689149,1.77E-05,1.068765343,0.013628453,123,0.009620107,0.000233702,-0.000228217,0.015589019,1
-0.049339067,0.001424466,-11.9400541,0.110098337,242,-0.041197925,-0.000839003,0.001357945,-0.122166548,1
-0.011024287,3.44E-05,-1.146525847,0.018336122,104,-0.012021156,-0.000397146,0.00036689,-0.020878661,1
0.005613233,1.11E-05,0.645521789,0.00990916,115,0.006037409,0.000255333,-0.000159329,0.01093104,0
0.0050105,4.38E-06,1.59834948,0.007922381,319,0.005369216,7.71E-05,-2.08E-05,0.00752973,0
-0.005872226,7.94E-06,-2.536801739,0.010255913,432,-0.00565732,-0.000155068,-4.12E-06,-0.00508278,0
0.008289457,1.86E-05,1.135655676,0.013622852,137,0.009021173,0.000202102,-0.000226892,0.015642749,0
0.015390793,2.96E-05,4.432548358,0.022689342,288,0.016293768,0.000315487,-4.56E-05,0.020864784,0
-0.021908191,0.000122692,-2.804248507,0.035350513,128,-0.024106435,-0.000565697,0.00060212,-0.040380498,0
0.024992527,0.000155713,3.448968761,0.039997086,138,0.027597039,0.000638424,-0.000589856,0.045688923,0
-0.011311066,6.04E-05,-2.556300893,0.024170094,226,-0.008762671,-0.000448659,0.00014226,-0.021732339,0
-0.02254492,0.000181183,-4.711888338,0.041360663,209,-0.022771979,-0.000475115,0.000416705,-0.045013318,0
0.014828187,6.00E-05,2.9211529,0.025101997,197,0.015762507,0.000323583,-0.000231134,0.027719787,0
0.007666054,1.43E-05,0.820267812,0.012144991,107,0.008535521,0.000255311,-0.000222964,0.013851252,0
-0.012522244,2.71E-05,-3.017860748,0.017658117,241,-0.014533273,-0.000134602,0.00014772,-0.020937206,0
0.00816687,1.91E-05,1.314866055,0.013613797,161,0.008939012,0.000202191,-0.000170916,0.015373432,0
-0.003207647,1.57E-06,-0.673605887,0.004802032,210,-0.003341999,-5.40E-05,3.00E-05,-0.005094596,0
-0.007359873,1.29E-05,-1.140780269,0.01156606,155,-0.008190598,-0.000167872,0.000146445,-0.013265743,0
0.005943038,8.59E-06,0.653734218,0.009445193,110,0.006577313,0.000174449,-0.000183931,0.010806287,0
-0.009340977,1.80E-05,-1.550602123,0.013940419,166,-0.010647237,-0.000176164,0.000164044,-0.016264495,0
0.009771546,2.52E-05,1.524361204,0.016142326,156,0.010527018,0.000253849,-0.000193968,0.018058645,0
-0.013253317,4.67E-05,-2.663916624,0.021662685,201,-0.014589388,-0.0002377,0.000221262,-0.024851997,0
0.013175955,7.72E-05,4.189953638,0.031442458,318,0.010999316,6.32E-05,-0.000562577,0.036220245,0
-0.041031674,0.000401413,-8.493556429,0.063952305,207,-0.046149708,-0.000633621,0.000674912,-0.074219221,0
-0.008634895,9.38E-06,-2.599103427,0.014576598,301,-0.008145618,-0.000290569,2.76E-05,-0.011874608,0
0.012326727,3.94E-05,2.009256512,0.019867921,163,0.013656716,0.000272877,-0.00025079,0.022780477,0
0.017071212,7.94E-05,2.21925751,0.028009711,130,0.018761786,0.000418788,-0.000506165,0.032177798,0
-0.01926383,9.53E-05,-2.157548925,0.031079317,112,-0.02123365,-0.000614761,0.000570789,-0.035392437,0
0.013362243,4.24E-05,1.443122255,0.021061482,108,0.014827835,0.000438384,-0.000382453,0.024000718,0
-0.010521515,2.55E-05,-1.209974178,0.016380023,115,-0.011684686,-0.000299568,0.000292365,-0.018756064,0
0.021471552,0.000101173,5.002871517,0.033800611,233,0.023356594,0.00023949,-0.000374505,0.039187875,0
-0.014066364,9.48E-05,-7.244177485,0.02745421,515,-0.013011083,-0.000208854,7.34E-05,-0.026267802,0
0.016519983,7.51E-05,3.320516542,0.027312761,201,0.017966333,0.000297404,-0.000288223,0.03113182,0
-0.007815487,2.44E-05,-2.540033437,0.015579141,325,-0.008101931,-0.000216814,2.65E-05,-0.010395937,0
0.024563668,0.00016621,3.80736858,0.040592741,155,0.026839072,0.000466655,-0.000662964,0.046837296,0
-0.045562783,0.000780196,-10.02381221,0.085376091,220,-0.045436387,-0.001181564,0.000681761,-0.089736411,1
0.013372738,6.10E-05,2.794902139,0.02357886,209,0.014337964,0.000312882,-0.000214252,0.02601038,1
-0.070214803,0.002122823,-15.65790111,0.137647424,223,-0.068834436,-0.001498927,0.00135833,-0.148698356,1
0.007711021,1.44E-05,0.994721717,0.012333932,129,0.008396435,0.000286084,-0.000151967,0.013708972,1
-0.00889679,2.04E-05,-1.334518477,0.014354786,150,-0.009820162,-0.000187726,0.000217638,-0.016510091,1
0.028197,0.000281866,5.301035918,0.051288714,188,0.029059462,0.00053744,-0.00070778,0.058011544,1
0.011710086,3.37E-05,1.370080008,0.018627742,117,0.012961451,0.000341349,-0.000325259,0.021347611,1
-0.009638911,2.19E-05,-0.973529975,0.015034881,101,-0.0108458,-0.000324078,0.000296265,-0.017189353,1
0.013789444,4.59E-05,1.902943211,0.02187903,138,0.015249782,0.000357817,-0.00031013,0.025004586,1
0.043268145,0.000620257,8.696897131,0.076511437,201,0.04563429,0.000808049,-0.000902005,0.086112708,1
-0.014497774,2.82E-05,-3.044532576,0.019722612,210,-0.016413132,-0.000129374,0.000213192,-0.023010914,1
0.019378506,0.000164378,5.445360257,0.041486306,281,0.013615001,0.000558334,-0.000188277,0.035819936,1
-0.030330837,0.000319473,-5.065249782,0.05445029,167,-0.031568015,-0.000724327,0.000749648,-0.060949792,1
-0.010837113,2.96E-05,-1.148733933,0.017369071,106,-0.011972208,-0.00032162,0.000362467,-0.019847555,1
0.015399948,0.000104252,5.528581426,0.033090918,359,0.015239776,4.83E-05,-0.000367171,0.037243689,1
-0.036531988,0.00057339,-10.33855263,0.070222541,283,-0.03618195,-0.000460836,0.000678646,-0.080406963,1
0.013683917,0.000122494,7.197740306,0.040391533,526,0.009741243,0.000674529,-4.86E-05,0.023205856,1
-0.020134311,0.000144946,-15.20140495,0.051428752,755,-0.018707355,-2.90E-05,0.000725131,-0.059460339,1
-0.032367455,0.000162522,-16.66923923,0.052624084,515,-0.031373518,-6.11E-05,0.000854544,-0.061003544,1
0.023508246,0.00015636,3.197121502,0.039417143,136,0.025283452,0.000837749,-0.000498992,0.04338795,1
-0.019500063,0.000121726,-3.841512372,0.033906156,197,-0.020740323,-0.000385388,0.000383519,-0.038098835,1
0.007387496,1.30E-05,1.322361728,0.012285097,179,0.00754735,9.89E-05,-0.000210294,0.014242973,1
-0.014949328,3.94E-05,-3.004814843,0.021954585,201,-0.016921193,-0.000307841,0.000148128,-0.024669948,1
0.014784681,5.26E-05,2.025501317,0.023409494,137,0.016473462,0.000365713,-0.000350373,0.026840305,1
-0.013623448,3.56E-05,-3.651084173,0.024172983,268,-0.013779413,-4.22E-05,0.000440663,-0.027912826,1
-0.133920275,0.006431807,-25.04309136,0.243595222,187,-0.137977442,-0.002791963,0.003100151,-0.274116808,1
0.029099046,0.000301616,4.015668291,0.051908404,138,0.031059432,0.001220392,-0.000643648,0.056067527,1
-0.005288475,1.64E-05,-1.946158712,0.013248267,368,-0.003701945,-3.70E-05,0.000113629,-0.014226824,1
-0.01273612,5.41E-05,-3.591585709,0.021185401,282,-0.014536097,-0.000141435,0.000222764,-0.025017204,1
0.006486542,7.64E-06,0.804331239,0.009394397,124,0.007408413,0.000130148,-0.000164952,0.010874726,1
-0.017068446,8.03E-05,-1.997008184,0.028054089,117,-0.018871453,-0.000456505,0.000569877,-0.032330721,1
-0.062922763,0.001381009,-12.9620892,0.113109523,206,-0.065624232,-0.001566195,0.00101437,-0.122910055,1
0.029425635,0.000525142,9.445628902,0.072162102,321,0.015809785,0.000241059,-0.000973177,0.082427468,1
-0.036143754,0.000351627,-4.517969236,0.05908973,125,-0.039555108,-0.001063338,0.000981651,-0.067464665,1
-0.056120421,0.000786672,-7.800738501,0.089812718,139,-0.061800107,-0.001331342,0.001356792,-0.102965178,1
0.056730468,0.003049155,19.62874207,0.158604363,346,0.029810862,0.002113614,-0.000570858,0.119505875,1
0.036584737,0.000347504,6.548667973,0.058471046,179,0.04091061,0.000726859,-0.000683301,0.067722218,0
